,Płeć,Kategoria wiekowa,Rocznik,Czas_na_5km,Czas_na_10km,Czas_na_15km,Czas_półmaratonu,Wiek
18156,0,0,2006,2125,4664,7240,10269,18
17040,1,6,2006,1597,3193,5000,8858,18
15741,1,6,2006,1813,3659,5640,8178,18
15455,1,6,2006,1725,3445,5368,8058,18
12927,0,0,2006,1664,3297,5040,7211,18
12481,1,6,2006,1726,3351,5009,7116,18
11610,1,6,2006,1641,3177,4811,6905,18
11115,1,6,2006,1253,2792,4452,6749,18
11087,1,6,2006,1633,3207,4713,6740,18
10928,1,6,2006,1486,2926,4693,6691,18
10864,1,6,2006,1643,3176,4734,6667,18
9713,0,0,2006,1424,2808,4310,6273,18
9688,1,6,2006,1420,2785,4251,6259,18
9606,1,6,2006,1471,2917,4408,6226,18
9518,1,6,2006,1495,2988,4478,6187,18
8212,1,6,2006,1167,2289,3484,5060,18
4423,1,6,2006,1744,3459,5214,7332,18
3367,1,6,2006,1692,3273,4930,6995,18
1586,1,6,2006,1307,2750,4365,6329,18
18271,0,0,2005,2359,4710,7325,10688,19
18162,0,0,2005,2458,4803,7342,10291,19
18106,0,0,2005,2360,4711,7019,10133,19
17969,1,6,2005,2010,3862,6150,9822,19
17903,0,0,2005,2247,4432,6715,9725,19
17654,0,0,2005,2101,4166,6400,9382,19
17632,1,6,2005,1887,3959,6120,9362,19
16910,0,0,2005,2059,3988,6101,8779,19
16887,1,6,2005,1994,3973,6122,8766,19
16638,1,6,2005,1805,3689,5881,8606,19
16621,1,6,2005,1975,3921,5975,8593,19
16407,1,6,2005,1948,3834,5811,8484,19
16267,1,6,2005,1722,3485,5506,8414,19
16116,0,0,2005,1940,3810,5792,8341,19
16110,1,6,2005,1872,3718,5646,8337,19
16093,0,0,2005,1832,3717,5691,8331,19
16049,1,6,2005,1804,3596,5559,8310,19
15920,0,0,2005,1959,3835,5801,8255,19
15356,0,0,2005,1910,3700,5627,8019,19
15010,1,6,2005,1764,3508,5541,7884,19
14889,1,6,2005,1847,3660,5515,7847,19
14661,1,6,2005,1571,3194,5006,7775,19
14613,0,0,2005,1801,3558,5416,7762,19
14073,1,6,2005,1800,3541,5255,7583,19
14024,1,6,2005,1752,3440,5255,7567,19
13886,1,6,2005,1803,3546,5324,7529,19
13733,1,6,2005,1811,3529,5297,7482,19
13687,1,6,2005,1700,3320,5079,7464,19
13410,1,6,2005,1543,3154,4926,7363,19
12867,1,6,2005,1725,3280,4857,7199,19
12835,1,6,2005,1709,3377,5108,7193,19
12289,1,6,2005,1643,3274,4905,7072,19
12219,0,0,2005,1720,3340,5026,7057,19
12161,0,0,2005,1648,3261,4901,7040,19
11928,1,6,2005,1615,3188,4869,6979,19
11274,1,6,2005,1725,3281,4858,6806,19
11266,1,6,2005,1645,3165,4762,6803,19
11082,1,6,2005,1650,3224,4814,6738,19
10964,1,6,2005,1608,3120,4708,6701,19
10739,1,6,2005,1468,2847,4405,6622,19
10271,1,6,2005,1550,3079,4595,6471,19
10237,1,6,2005,1454,2884,4413,6457,19
10224,1,6,2005,1508,3009,4555,6452,19
10132,0,0,2005,1640,3133,4606,6417,19
10131,1,6,2005,1435,2857,4383,6416,19
10015,1,6,2005,1594,3085,4598,6378,19
9831,1,6,2005,1494,2968,4446,6310,19
9802,1,6,2005,1508,2949,4454,6300,19
9638,1,6,2005,1358,2757,4293,6241,19
9624,1,6,2005,1428,2854,4393,6238,19
9478,1,6,2005,1300,2611,4066,6163,19
9271,1,6,2005,1352,2724,4171,6050,19
8255,1,6,2005,1219,2427,3653,5197,19
7378,1,6,2005,2053,4178,6543,9121,19
7202,1,6,2005,1705,3654,5905,8944,19
6907,1,6,2005,1690,3795,5839,8673,19
6228,1,6,2005,1936,3809,5799,8169,19
6071,0,0,2005,1904,3676,5528,8066,19
6056,0,0,2005,1888,3677,5529,8059,19
4396,0,0,2005,1697,3388,5120,7321,19
4147,1,6,2005,1752,3485,5274,7232,19
3830,1,6,2005,1679,3298,5005,7141,19
3332,0,0,2005,1594,3191,4884,6984,19
2895,1,6,2005,1567,3137,4821,6830,19
2668,1,6,2005,1527,3005,4585,6736,19
2582,1,6,2005,1577,3128,4722,6702,19
1717,1,6,2005,1373,2788,4342,6375,19
1553,1,6,2005,1475,2908,4432,6311,19
690,1,6,2005,1320,2612,3974,5843,19
18366,0,0,2004,2030,4410,7774,11566,20
18290,1,6,2004,2057,4159,6725,10790,20
17666,1,6,2004,2085,4248,6609,9402,20
17538,0,0,2004,2105,4175,6381,9261,20
17526,1,6,2004,2143,4235,6447,9244,20
17469,0,0,2004,2103,4199,6399,9189,20
17439,1,6,2004,2144,4236,6448,9162,20
17428,1,6,2004,2178,4246,6413,9155,20
17357,1,6,2004,1796,3900,6232,9086,20
17200,0,0,2004,1834,3670,6052,8965,20
16978,0,0,2004,2076,4047,6149,8824,20
16926,1,6,2004,2132,4140,6210,8793,20
16840,1,6,2004,1720,3597,5828,8731,20
16826,0,0,2004,1822,3866,5989,8722,20
16616,1,6,2004,2086,3960,5961,8592,20
16547,0,0,2004,1889,3863,5904,8552,20
16546,1,6,2004,1889,3863,5905,8552,20
16479,1,6,2004,1817,3646,5689,8518,20
16416,0,0,2004,1912,3837,5853,8489,20
16258,1,6,2004,1941,3722,5729,8410,20
16156,0,0,2004,1958,3901,5854,8361,20
16070,1,6,2004,2106,4108,6142,8321,20
16015,0,0,2004,1786,3607,5678,8296,20
15880,1,6,2004,1998,3854,5805,8235,20
15719,0,0,2004,1944,3767,5717,8170,20
15602,0,0,2004,1804,3550,5458,8121,20
15467,1,6,2004,1547,3410,5353,8062,20
15340,0,0,2004,1896,3701,5667,8014,20
15239,1,6,2004,1613,3447,5377,7968,20
15126,0,0,2004,1699,3404,5377,7925,20
15098,1,6,2004,1793,3555,5579,7915,20
14755,1,6,2004,1717,3389,5158,7805,20
14745,0,0,2004,1844,3617,5493,7802,20
14530,0,0,2004,1821,3581,5397,7729,20
14125,0,0,2004,1620,3290,5102,7602,20
14097,1,6,2004,1555,3212,5132,7592,20
13964,1,6,2004,1797,3549,5377,7550,20
13828,0,0,2004,1781,3519,5319,7513,20
13623,0,0,2004,1717,3370,5162,7438,20
13210,1,6,2004,1772,3452,5203,7295,20
13208,1,6,2004,1621,3187,4863,7294,20
13173,1,6,2004,1649,3279,5019,7283,20
13170,1,6,2004,1729,3417,5195,7283,20
12930,0,0,2004,1718,3388,5128,7212,20
12925,1,6,2004,1642,3272,4987,7211,20
12916,0,0,2004,1733,3427,5142,7208,20
12549,1,6,2004,1634,3220,4897,7135,20
12475,0,0,2004,1692,3348,5052,7115,20
12389,1,6,2004,1702,3323,5028,7095,20
11912,0,0,2004,1744,3337,4974,6975,20
11237,1,6,2004,1631,3215,4834,6794,20
10775,1,6,2004,1596,3114,4748,6634,20
10755,1,6,2004,1560,3062,4657,6627,20
10716,1,6,2004,1553,3116,4705,6612,20
10474,1,6,2004,1545,3032,4584,6540,20
10457,1,6,2004,1472,2923,4474,6535,20
10379,1,6,2004,1562,3114,4621,6508,20
10310,1,6,2004,1467,2847,4405,6488,20
10130,1,6,2004,1638,3136,4609,6416,20
10102,1,6,2004,1451,2884,4417,6404,20
9917,1,6,2004,1590,3058,4570,6336,20
9783,1,6,2004,1504,2951,4443,6293,20
9015,1,6,2004,1348,2654,4061,5932,20
8941,1,6,2004,1375,2726,4149,5880,20
8510,1,6,2004,1228,2439,3729,5529,20
8488,1,6,2004,1291,2585,3908,5501,20
8092,1,6,2004,2134,4574,7262,11336,20
7995,1,6,2004,2086,4595,7121,10407,20
7926,0,0,2004,1991,4144,6715,10121,20
7882,1,6,2004,1771,3820,6452,9959,20
7389,1,6,2004,1773,3703,5714,9131,20
7386,1,6,2004,1773,3704,5693,9130,20
7313,0,0,2004,2004,3992,6141,9045,20
6901,0,0,2004,1786,3730,5826,8671,20
6750,0,0,2004,1875,3824,5886,8553,20
6072,1,6,2004,1838,3609,5548,8068,20
5204,0,0,2004,1711,3446,5269,7656,20
5165,1,6,2004,1761,3544,5370,7634,20
5093,1,6,2004,1725,3377,5141,7598,20
4862,1,6,2004,1613,3300,5105,7507,20
3985,1,6,2004,1512,3042,4711,7182,20
3721,1,6,2004,1689,3352,5133,7107,20
3397,1,6,2004,1631,3300,4934,7004,20
3369,1,6,2004,1641,3217,4885,6996,20
2195,1,6,2004,1479,2943,4485,6564,20
1839,1,6,2004,1582,3081,4578,6432,20
1387,1,6,2004,1477,2873,4314,6239,20
1018,1,6,2004,1368,2752,4186,6048,20
929,1,6,2004,1366,2718,4130,5989,20
853,1,6,2004,1367,2681,4105,5950,20
557,1,6,2004,1352,2662,4005,5701,20
435,1,6,2004,1387,2686,3965,5572,20
270,1,6,2004,1238,2458,3731,5354,20
18361,0,0,2003,2490,5068,7946,11427,21
18151,1,6,2003,2052,4225,6774,10247,21
18124,0,0,2003,2171,4429,6905,10185,21
18056,1,6,2003,2143,4352,6692,10025,21
18052,0,0,2003,2140,4349,6691,10016,21
18013,0,0,2003,2160,4279,6689,9906,21
17980,1,6,2003,2190,4313,6695,9845,21
17978,1,6,2003,2187,4312,6692,9841,21
17791,1,6,2003,1766,3875,6312,9576,21
17781,1,6,2003,2127,4203,6504,9561,21
17768,0,0,2003,2004,4085,6387,9550,21
17710,0,0,2003,1862,3913,6317,9451,21
17598,1,6,2003,2001,4084,6363,9319,21
17502,0,0,2003,1971,4105,6537,9227,21
17409,1,6,2003,2065,4058,6224,9128,21
17250,0,0,2003,2023,4008,6184,9004,21
17247,1,6,2003,2021,4006,6184,9003,21
17052,1,6,2003,1967,3883,5951,8867,21
16950,0,0,2003,2028,4005,6105,8810,21
16930,1,6,2003,1946,3898,5958,8799,21
16893,0,0,2003,2029,4006,6107,8772,21
16683,0,0,2003,1863,3839,6010,8634,21
16595,1,6,2003,1987,4057,6116,8577,21
16571,1,6,2003,1984,3924,6000,8563,21
16428,0,0,2003,1862,3719,5819,8494,21
16285,0,0,2003,1963,3915,5931,8424,21
16274,1,6,2003,2176,4189,6116,8416,21
16219,0,0,2003,1982,3875,5882,8394,21
16157,0,0,2003,1960,3902,5855,8362,21
16098,0,0,2003,1940,3811,5797,8334,21
16059,1,6,2003,1768,3458,5341,8314,21
15828,1,6,2003,1985,3857,5761,8213,21
15780,1,6,2003,1795,3565,5540,8194,21
15674,1,6,2003,1839,3599,5425,8153,21
15624,1,6,2003,1698,3338,5111,8131,21
15579,0,0,2003,1814,3614,5578,8112,21
15543,1,6,2003,1666,3403,5263,8098,21
15364,1,6,2003,1843,3799,5835,8021,21
15336,1,6,2003,1667,3444,5416,8009,21
15273,1,6,2003,1701,3347,5374,7987,21
15133,0,0,2003,1866,3704,5588,7929,21
15072,1,6,2003,1810,3605,5524,7905,21
15050,1,6,2003,2016,3863,5662,7900,21
14905,1,6,2003,1938,3710,5581,7854,21
14890,1,6,2003,1800,3571,5482,7847,21
14821,1,6,2003,1731,3413,5281,7826,21
14597,0,0,2003,1746,3457,5300,7751,21
14391,1,6,2003,1883,3670,5477,7682,21
14351,1,6,2003,1677,3372,5223,7672,21
14062,1,6,2003,1689,3305,5005,7579,21
13912,0,0,2003,1914,3632,5377,7534,21
