Płeć;Rocznik;Czas_półmaratonu_sekundy;Czas_na_5km_sekundy;Czas_na_10km_sekundy;Czas_na_15km_sekundy;Czas_na_20km_sekundy;Tempo_na_5_km_sekundy_na_km;Tempo_na_10_km_sekundy_na_km;Tempo_na_15_km_sekundy_na_km;Tempo_na_20_km_sekundy_na_km;Tempo_półmaratonu_sekundy
1;1992.0;3899;877;1755;2687;3703;175;176;186;203;185
1;1986.0;3983;888;1783;2726;3788;178;179;189;212;189
1;1996.0;4104;946;1883;2854;3909;189;187;194;211;195
1;1988.0;4216;971;1930;2929;4014;194;192;200;217;200
1;1995.0;4227;972;1955;2971;4047;194;197;203;215;200
1;1983.0;4234;969;1950;2971;4048;194;196;204;215;201
1;1999.0;4278;937;1885;2898;4058;187;190;203;232;203
1;1989.0;4302;990;1975;2997;4098;198;197;204;220;204
1;2001.0;4456;1030;2063;3131;4263;206;207;214;226;211
1;1992.0;4462;1013;2035;3099;4250;203;204;213;230;212
1;1997.0;4483;1029;2063;3131;4282;206;207;214;230;213
1;1992.0;4490;1035;2063;3133;4284;207;206;214;230;213
1;1996.0;4496;1035;2063;3133;4290;207;206;214;231;213
1;1991.0;4505;1036;2064;3134;4292;207;206;214;232;214
0;1995.0;4520;1038;2077;3163;4313;208;208;217;230;214
1;1990.0;4533;1037;2080;3166;4320;207;209;217;231;215
1;1984.0;4539;1013;2035;3133;4326;203;204;220;239;215
1;1981.0;4550;1037;2080;3153;4338;207;209;215;237;216
1;1974.0;4561;1039;2079;3166;4338;208;208;217;234;216
1;1992.0;4574;994;1994;3069;4358;199;200;215;258;217
1;1978.0;4575;1039;2078;3166;4359;208;208;218;239;217
1;1990.0;4578;1062;2119;3213;4372;212;211;219;232;217
1;1992.0;4580;1035;2062;3167;4363;207;205;221;239;217
1;1993.0;4602;994;2017;3109;4368;199;205;218;252;218
0;1985.0;4614;1038;2080;3188;4391;208;208;222;241;219
1;1981.0;4616;1038;2080;3187;4391;208;208;221;241;219
1;1993.0;4623;1037;2089;3212;4407;207;210;225;239;219
1;1998.0;4626;1100;2171;3270;4420;220;214;220;230;219
1;1991.0;4643;1035;2091;3213;4427;207;211;224;243;220
1;1976.0;4680;1094;2168;3283;4466;219;215;223;237;222
1;1970.0;4698;1071;2142;3260;4477;214;214;224;243;223
1;1988.0;4709;1093;2171;3285;4493;219;216;223;242;223
1;1992.0;4725;1071;2144;3260;4492;214;215;223;246;224
1;1995.0;4735;1095;2180;3314;4513;219;217;227;240;224
1;1979.0;4765;1039;2125;3282;4540;208;217;231;252;226
1;1989.0;4786;1105;2203;3344;4568;221;220;228;245;227
1;1978.0;4790;1101;2191;3343;4576;220;218;230;247;227
1;1989.0;4794;1092;2192;3342;4573;218;220;230;246;227
